timestamps,TP9,AF7,AF8,TP10,Right AUX
1732270585.132,30.273,963.867,346.680,70.312,0.000
1732270585.136,82.031,-980.469,399.902,177.246,0.000
1732270585.140,92.285,695.801,97.168,-12.207,0.000
1732270585.144,70.312,165.039,-261.230,-238.770,0.000
1732270585.147,46.387,432.617,-53.223,-210.449,0.000
1732270585.151,59.082,938.477,327.148,63.965,0.000
1732270585.155,41.016,829.102,279.297,189.453,0.000
1732270585.159,19.531,797.363,162.598,-47.363,0.000
1732270585.163,-15.137,513.184,-107.422,-234.863,0.000
1732270585.167,-62.012,257.324,-227.539,-197.266,0.000
1732270585.171,-3.418,699.707,176.758,26.855,0.000
1732270585.175,-13.672,969.727,422.363,166.504,0.000
1732270585.179,-75.195,-992.676,291.992,23.438,0.000
1732270585.183,-88.867,661.133,-122.559,-205.566,0.000
1732270585.187,-65.430,186.035,-336.426,-241.699,0.000
1732270585.191,-63.965,609.863,94.727,-34.668,0.000
1732270585.194,-106.445,-961.914,425.293,118.652,0.000
1732270585.198,-123.535,881.348,257.324,45.410,0.000
1732270585.202,-183.594,379.883,-170.898,-178.711,0.000
1732270585.206,-246.094,437.988,-191.406,-293.945,0.000
1732270585.210,-183.105,859.863,208.984,-68.359,0.000
1732270585.214,-145.996,943.359,364.746,133.789,0.000
1732270585.218,-137.695,963.379,278.809,106.445,0.000
1732270585.222,-110.840,848.145,11.719,-138.672,0.000
1732270585.226,-60.547,600.586,-225.098,-248.535,0.000
1732270585.230,-31.738,595.703,-50.293,-33.691,0.000
1732270585.234,-6.836,843.750,253.418,176.270,0.000
1732270585.237,-37.109,993.652,348.633,176.270,0.000
1732270585.241,-104.492,890.137,158.203,-59.570,0.000
1732270585.245,-30.273,76.660,-325.684,-173.340,0.000
1732270585.249,-41.016,164.062,-66.406,-27.344,0.000
1732270585.253,-105.957,-985.840,465.820,152.344,0.000
1732270585.257,-73.242,983.398,343.262,205.078,0.000
1732270585.261,-82.031,755.371,54.688,13.184,0.000
1732270585.265,-48.340,522.949,-159.180,-146.484,0.000
1732270585.269,12.695,695.801,18.555,-24.902,0.000
1732270585.273,53.711,940.918,284.180,212.402,0.000
1732270585.277,66.895,-995.605,375.488,281.738,0.000
1732270585.280,87.402,748.047,104.492,66.895,0.000
1732270585.284,83.984,246.094,-301.758,-144.531,0.000
1732270585.288,103.516,106.934,-254.395,-25.879,0.000
1732270585.292,124.512,363.281,76.172,214.844,0.000
1732270585.296,52.734,914.551,390.137,247.070,0.000
1732270585.300,107.422,981.934,228.027,82.520,0.000
1732270585.304,177.246,421.875,-231.934,-86.426,0.000
1732270585.308,83.984,412.109,-206.543,-29.785,0.000
1732270585.312,-44.922,919.922,226.074,190.918,0.000
1732270585.316,-64.453,996.094,390.625,298.340,0.000
1732270585.320,-38.574,819.336,148.926,131.348,0.000
1732270585.323,-9.766,514.648,-182.617,-107.422,0.000
1732270585.327,81.543,229.980,-255.371,-77.637,0.000
1732270585.331,112.305,564.453,125.977,168.457,0.000
1732270585.335,127.930,708.008,283.691,333.008,0.000
1732270585.339,142.090,587.402,173.828,166.016,0.000
1732270585.343,116.699,708.008,91.309,-125.977,0.000
1732270585.347,129.395,383.789,-131.348,-115.723,0.000
1732270585.351,114.746,577.148,146.973,132.324,0.000
1732270585.355,94.238,962.402,419.434,279.785,0.000
1732270585.359,30.762,-983.398,325.684,178.223,0.000
1732270585.363,2.930,581.055,-92.285,-35.156,0.000
1732270585.366,20.020,96.191,-333.496,-104.492,0.000
1732270585.370,32.715,559.082,103.027,87.402,0.000
1732270585.374,82.031,-989.746,382.324,289.062,0.000
1732270585.378,92.285,834.961,217.773,250.977,0.000
1732270585.382,72.266,-2.930,-240.723,14.648,0.000
1732270585.386,41.016,-78.613,-280.762,-168.945,0.000
1732270585.390,45.410,470.215,57.129,32.715,0.000
1732270585.394,45.898,760.742,258.789,302.246,0.000
1732270585.397,40.527,985.352,328.125,270.996,0.000
1732270585.402,0.000,794.434,81.055,7.812,0.000
1732270585.406,0.000,431.641,-215.820,-113.770,0.000
1732270585.409,0.000,457.520,-63.965,74.219,0.000
1732270585.413,0.000,825.195,300.781,273.438,0.000
1732270585.417,0.000,-980.957,350.586,271.973,0.000
1732270585.421,0.000,689.941,-56.641,74.707,0.000
1732270585.425,0.000,-260.254,-465.820,-38.086,0.000
1732270585.429,0.000,-90.820,-166.504,41.016,0.000
1732270585.433,0.000,935.059,362.305,207.520,0.000
1732270585.437,0.000,-992.676,354.492,313.477,0.000
1732270585.440,0.000,769.531,54.199,99.121,0.000
1732270585.444,0.000,350.586,-295.410,-127.930,0.000
1732270585.448,46.387,472.656,-136.719,-31.250,0.000
1732270585.452,87.891,926.270,246.582,209.961,0.000
1732270585.456,102.539,978.516,335.449,280.762,0.000
1732270585.460,60.547,839.844,110.352,65.430,0.000
1732270585.464,38.086,457.031,-305.176,-119.629,0.000
1732270585.468,75.195,160.645,-353.516,-20.508,0.000
1732270585.472,109.863,218.750,-105.469,200.684,0.000
1732270585.476,25.879,776.367,292.480,250.488,0.000
1732270585.479,-7.324,991.211,243.652,102.051,0.000
1732270585.483,20.020,370.117,-267.578,-99.609,0.000
1732270585.487,74.707,253.418,-278.809,-81.543,0.000
1732270585.491,85.938,835.449,212.891,146.973,0.000
1732270585.495,43.945,-975.586,413.574,266.113,0.000
1732270585.499,19.043,776.367,81.543,140.625,0.000
1732270585.503,-19.531,237.305,-346.680,-100.586,0.000
1732270585.507,-22.461,275.879,-297.852,-151.855,0.000
1732270585.511,-1.953,793.457,118.164,83.008,0.000
1732270585.515,11.230,913.574,263.184,292.480,0.000
1732270585.519,10.254,864.746,98.145,164.062,0.000
1732270585.523,-43.945,720.703,-122.070,-103.027,0.000
1732270585.526,1.465,426.758,-314.941,-126.465,0.000
1732270585.530,29.297,301.758,-193.848,122.070,0.000
1732270585.534,-5.859,700.195,219.238,268.555,0.000
1732270585.538,-10.254,-934.570,333.984,166.504,0.000
1732270585.543,-4.883,661.621,-143.555,-48.340,0.000
1732270585.547,25.391,218.262,-360.840,-145.996,0.000
1732270585.550,33.691,624.512,28.809,40.039,0.000
1732270585.554,43.945,-992.188,338.379,245.117,0.000
1732270585.558,63.477,928.223,189.453,225.098,0.000
1732270585.562,23.926,463.379,-235.840,-16.113,0.000
1732270585.566,-24.414,30.273,-426.270,-172.363,0.000
1732270585.570,8.301,341.309,-99.609,-0.488,0.000
1732270585.574,63.477,761.230,229.004,248.535,0.000
1732270585.577,46.875,765.137,154.297,259.277,0.000
1732270585.581,-13.184,748.047,-20.996,-36.133,0.000
1732270585.585,-2.930,529.297,-309.570,-186.523,0.000
1732270585.590,40.039,542.480,-294.922,-14.160,0.000
1732270585.593,64.453,852.051,78.125,205.078,0.000
1732270585.597,18.555,-1000.000,299.316,234.375,0.000
1732270585.601,-46.875,914.551,-82.520,1.465,0.000
1732270585.605,-47.852,416.016,-461.914,-165.039,0.000
1732270585.609,-85.449,239.746,-397.949,-46.387,0.000
1732270585.613,-119.141,765.137,20.508,153.320,0.000
1732270585.617,-141.602,-978.027,228.027,240.723,0.000
1732270585.621,-168.945,765.625,-161.133,23.438,0.000
1732270585.624,-203.125,544.922,-415.039,-211.426,0.000
1732270585.628,-178.711,694.336,-331.543,-120.117,0.000
1732270585.632,-140.137,952.637,20.020,137.207,0.000
1732270585.636,-150.879,756.836,79.590,294.922,0.000
1732270585.640,-216.309,759.766,-104.492,63.965,0.000
1732270585.644,-260.742,838.867,-254.395,-227.051,0.000
1732270585.648,-159.668,629.883,-379.395,-150.879,0.000
1732270585.652,-137.207,774.902,-33.691,94.727,0.000
1732270585.656,-194.336,973.145,305.664,202.148,0.000
1732270585.660,-220.703,968.750,41.992,11.719,0.000
1732270585.664,-253.906,463.867,-412.598,-223.145,0.000
1732270585.667,-249.023,43.457,-468.262,-241.211,0.000
1732270585.671,-252.930,678.711,25.391,-56.152,0.000
1732270585.675,-261.719,-963.867,359.375,107.422,0.000
1732270585.679,-244.629,897.949,113.281,-2.930,0.000
1732270585.683,-251.465,725.586,-282.227,-239.746,0.000
1732270585.687,-174.805,596.191,-327.148,-293.457,0.000
1732270585.691,-28.809,818.848,88.867,-50.293,0.000
